iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
NPL,SAS,Nepal,LIC,Lalitpur,57.07,1.44,0.53,6.55,18.38,15.56,,Yes,Yes,226728.0,Multiple,No,30769.5,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Badimalika,51.06,10.57,0.24,18.17,12.97,6.87,,No,Yes,18207.0,Centralized drop-off point,,872.35,population_population_number_of_people,# of people,2011.0,"Nepal, SWMTSC (Solid Waste Management Technical Support Center). 2017. ""Solid Waste Management Baseline Study of 60 New Municipalities: Finale Report,"" by the Engineering Study and Research Centre (P) Ltd. (ESRC). Solid Waste Management Technical Support Center (SWMTSC), Ministry of Federal Affairs and Local Development (MoFALD), Government of Nepal. January"
NPL,SAS,Nepal,LIC,Bharatpur,74.23,3.59,1.58,2.81,11.36,5.61,No,,Yes,147777.0,Door-to-door collection,No,21578.799999999999,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Dharan,50.49,3.7,6.33,9.75,12.95,16.19,,No,Yes,119915.0,Door-to-door collection,No,18585.8,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Bhimeshwor,51.68,0.52,0.01,26.23,11.17,8.17,No,,Yes,23337.0,Centralized drop-off point,,1036.5999999999999,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Biratnagar,71.07,0.52,0.21,1.86,13.18,11.99,,No,Yes,204949.0,Door-to-door collection,,21305.05,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NPL,SAS,Nepal,LIC,Bhaktapur,62.68,1.17,2.73,8.66,11.35,13.24,,,Yes,83658.0,Door-to-door collection,,10548.5,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
NZL,EAS,New Zealand,HIC,Auckland,55.5,1.8,2.7,17.4,10.5,11.2,Yes,Yes,Yes,1414700.0,Curbside collection,,226352,population_population_number_of_people,# of people,2008.0,"Auckland Council. 2011. ""Auckland Council Waste Assessment."" October."
NZL,EAS,New Zealand,HIC,Wellington,19,1.5,1.3,12.2,28.0,38,Yes,Yes,Yes,383000.0,,,302500,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
OMN,MEA,Oman,HIC,Muscat,,,,,,,Yes,No,yes,838000.0,Curbside collection,No,219000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
